chunk_id,content,meta_Knowledge_Base,meta_source,meta_Main_Topic,meta_Sub_Section,meta_Sub_Sub_Section,meta_Detail_Section
25,"* Class model visualization synthesizes an artificial input image that strongly activates the output neurons associated with a target class. Given a trained, fixed model, this method starts with a zero-initialized image, backpropagates the gradients from the class score to the image pixels, updates the image pixels increasing the specific class scores and it repeats the pixel updating process, showing an encoded (idealized version) prototype of the class of interest.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Background,Class model visualization and saliency maps for convolutional neural networks,
26,"#### Guided backpropagation  
The concept of guided backpropagation can be traced for the first time in the paper by Springenberg et al. ""Striving For Simplicity: The All Convolutional Net"" and also this method builds upon the work by Zeiler and Fergus ""Visualizing and Understanding Convolutional Networks"".",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Background,Guided backpropagation,
27,"### Base versions
Key architectural network differences between CAM and Grad-CAM techniques, with visual example.
Class activation mapping and gradient-weighted class activation mapping are the original and most widely used methods for visual explanations in convolutional neural networks. These methods serve as the foundation for many later developments in explainable AI.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,,
28,"Notation: In this article, the symbols i and j represent integer indices that disappear inside sums or averages, while x and y are the continuous (or up-sampled integer) coordinates of the final heat-map that is plotted.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,,
29,"#### Class activation mapping (CAM)  
Leonardo DiCaprio's suit CAM visual localization. Using a modified ResNet-50 backbone, the CAM-based localization model has been tasked with identifying Leonardo DiCaprio's suit, assigning that class a confidence score of 59.53%.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),
30,"Class activation mapping (CAM) was the first, and the original, version of CAM methods, and it gave the name to the whole category. The approach was firstly introduced by Zhou et al. in their seminal work ""Learning Deep Features for Discriminative Localization"".",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),
31,"##### Global average pooling (GAP)
Global average pooling (GAP) represents the key element in the original CAM approach.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Global average pooling (GAP)
32,"It is a dimensionality reduction technique and, similarly to other pooling layers, it allows the downsampling of the feature maps, calculating representative values for a specific region of the feature map. The particularity of GAP is that it calculates a single value for an entire feature map, significantly reducing the model dimensions.. Grad-CAM computes the [gradient] of a target class score, the pre-softmax logit, with respect to the feature maps of a convolutional neural network. The",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Global average pooling (GAP)
33,"maps of a convolutional neural network. The gradients are global-average-pooled to obtain importance weights, which are used to compute a class-specific localization map by linearly weighting the feature maps. The result is a heatmap that highlights the regions in the input image that are the most influential for predicting the target class.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Global average pooling (GAP)
34,"The main advantage of Grad-CAM, with respect to the standard CAM, is that it is model agnostic (provided that the network still needs to be [Differentiable function|differentiable]), meaning that it generates visual explanation for any CNN-based network without architectural changes or re-training, making it broadly applicable to pre-trained models.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Global average pooling (GAP)
35,"##### Mathematical description  
Considering:
* y ^C  the logits (i.e. the pre-softmax activated neurons responsible for a certain class prediction) of interest;
* A ^k  the feature activated map for a specific convolutional layer;
* L ^C_{\text{Grad-CAM}}  ∈  \mathbb{R}^{u \times v}  the class-discriminative localization map, of width u and height v for any class c;
Grad-CAM, employing backpropagation, computes the logit gradient with respect to the feature map A ^k  as",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Mathematical description
36,"\frac{\partial{y^C}}{\partial{A^k}(i,j)}  
highlighting the importance of a certain class discrimination decision process of the logit.<br />
These gradients are global-average-pooled over each element of the feature map (hence, highlighting the ""importance"" of the elements of a feature map k for a target class C):  
\alpha_k^C = \frac{1}{uv} \sum_{i} \sum_{j} \frac{\partial{y^C}}{\partial{A^k}(i,j)}",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Mathematical description
37,"So, to account for the total number of feature maps, each of them is multiplied by its weight (via dot-product) and element-wise summation is done:  
\sum_k \alpha_k^C A^k  
It can be observed that, due to the intrinsic nature of the gradient operation, some elements of the weighted feature map will have negative value, so, since only elements that have increased the logit of the predicted class are of interest, a ReLU activation function is applied:",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Mathematical description
38,"L_{Grad-CAM}^C(x,y) = ReLU(\sum_k \alpha_k^C A^k(x,y))  
Lastly, the output heatmap image dimensions are [Upsampling|upsampled] to the original image size to match the input dimensions.  
Notation: (a,b) indexes all pixel positions in the feature‐map, exactly like (i,j) does, but for the summation in the denominator.",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Class activation mapping (CAM),Mathematical description
39,"#### Score-CAM  
Score-CAM is a gradient-free CAM technique, thus redefining the original Grad-CAM and Grad-CAM++ working principles. It uses the model confidence scores instead of gradients.  
Score-CAM performs the following operations:",Remote Sensing & Image Interpretation Knowledge Base,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Class activation mapping,Base versions,Score-CAM,
40,"# Extracts the feature maps  A_k  of the final convolutional layers, as in the original Grad-CAM;","Extracts the feature maps  A_k  of the final convolutional layers, as in the original Grad-CAM;",C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,,
41,"# Upsamples each activation map  A_k  to the same input image dimensions, defining a mask  M_k  and each mask is normalized;","Upsamples each activation map  A_k  to the same input image dimensions, defining a mask  M_k  and each mask is normalized;",C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,,
42,"# Multiplies the original input image by the mask, defining a masked image  X'_k = M_k \odot X  ( \odot  is the [Hadamard product (matrices)|element-wise multiplication]);","Multiplies the original input image by the mask, defining a masked image  X'_k = M_k \odot X  ( \odot  is the [Hadamard product (matrices)|element-wise multiplication]);",C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,,
43,"# Gets a confidence score (a softmax probability is the output value after the softmax operation; the logit is the value before the softmax) for the masked images  X'_k , by feeding it into the CNN (either the soft-max probability or the raw logit can be used; both yield similar results in practice);","Gets a confidence score (a softmax probability is the output value after the softmax operation; the logit is the value before the softmax) for the masked images  X'_k , by feeding it into the CNN (either the soft-max probability or the raw logit can be used; both yield similar results in practice);",C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,,
44,"# Considers that confidence score as the weight  w_k^c  for the feature map  A_k .  
These operations allow to replace the gradient calculations with the actual model outputs, building more accurate heatmaps.  
Mathematically, the localization map is defined as:  
L_{Score-CAM}^C(x,y) = ReLU(\sum_k w_k^c A_k(x,y))  
and the coefficient  w_k^C  s:  
w_k^C = softmax_{k}(y^C(X'_k)) = \frac{exp(y^C(X'_k))}{\sum_m exp(y^C(X'_m))}",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,,
45,"where  A_k(x,y)  is the activation of channel k at location (x,y),  y^C(X)  is the logit for class C for an input X and  M_k  is the mask, defined as:  
M_k(x,y) = \frac{U(A_k)(x,y)-min_{x,y} U(A_m)}{max_{x,y} U(A_k) - min_{x,y} U(A_k)}  
with  U  as the upsampling operation.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,,
46,"with  U  as the upsampling operation.  
Since the process of score calculation is repeated for every channel, Score-CAM is slow with respect to gradient-based methods. Moreover, it focuses on regions highlighted by individual feature maps, ignoring the context of the full image, reducing interpretability in complex scenes.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,,
47,"#### LayerCAM
LayerCAM enhances backwards class-specific gradients using both intermediate and final convolutional layers. Combining information across layers allows to achieve higher resolution and more fine-grained detail, improving localization.  
Specifically, for each position in the feature map, LayerCAM evaluates the gradient. The positive gradients are employed as the weights,  w_k^C . Namely:  
w_k^C(x,y) = ReLU(\frac{\partial y^C}{\partial A_k(i,j)}(x,y))",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,LayerCAM,
48,"The activations are then weighted, and the final class activation map is retrieved by summing over the channels.  
L_{Layer-CAM}^C(x,y) = ReLU(\sum_k w_k^C(x,y) A_k(x,y))  
This technique offers high-resolution heatmaps, flexible localization and per-location precision, employing positive gradients.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,,,LayerCAM,
49,"## Image warping  
### Overview  
Image warping is the process of digitally manipulating an image such that any shapes portrayed in the image have been significantly distorted. Warping may be used for correcting image distortion as well as for creative purposes (e.g., morphing). The same techniques are equally applicable to video.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
50,"While an image can be transformed in various ways, pure warping means that points are mapped to points without changing the colors. This can be based mathematically on any function from (part of) the plane to the plane. If the function is injective the original can be reconstructed. If the function is a bijection any image can be inversely transformed.
Some methods are:  
Images may be distorted through simulation of optical aberrations.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
51,"Images may be viewed as if they had been projected onto a curved or mirrored surface. (This is often seen in ray traced images.)
Images can be partitioned into image polygons and each polygon distorted.
Images can be distorted using morphing.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
52,"The most obvious approach to transforming a digital image is the forward mapping.  This applies the transform directly to the source image, typically generating unevenly-spaced points that will then be interpolated to generate the required regularly-spaced pixels.  However, for injective transforms reverse mapping is also available.  This applies the inverse transform to the target pixels to find the unevenly-spaced locations in the source image that contribute to them.  Estimating them from",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
53,that contribute to them.  Estimating them from source image pixels will require interpolation of the source image.,Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
54,"To work out what kind of warping has taken place between consecutive images, one can use optical flow estimation techniques.  
Image warping example  
Image warping is the process of [digital image editing|digitally manipulating an image] such that any shapes portrayed in the image have been significantly distorted. Warping may be used for correcting [image distortion] as well as for creative purposes (e.g., [morphing]). The same techniques are equally applicable to video.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
55,"While an image can be transformed in various ways, pure warping means that points are mapped to points without changing the colors. This can be based mathematically on any function from (part of) the plane to the plane. If the function is [injective function|injective] the original can be reconstructed. If the function is a [bijection] any image can be inversely transformed.  
Some methods are:
*Images may be distorted through simulation of [optical aberration]s.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
56,"*Images may be viewed as if they had been projected onto a curved or mirrored surface. (This is often seen in [Ray tracing (graphics)|ray traced] images.)
*Images can be partitioned into [Polygon (computer graphics)|image polygons] and each polygon distorted.
*Images can be distorted using morphing.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
57,"The most obvious approach to transforming a digital image is the forward mapping.  This applies the transform directly to the source image, typically generating unevenly-spaced points that will then be interpolated to generate the required regularly-spaced pixels.  However, for injective transforms reverse mapping is also available.  This applies the inverse transform to the target pixels to find the unevenly-spaced locations in the source image that contribute to them.  Estimating them from",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
58,that contribute to them.  Estimating them from source image pixels will require interpolation of the source image.,Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
59,"To work out what kind of warping has taken place between consecutive images, one can use [optical flow] estimation techniques.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Overview,,
60,"### Image warping toolbox  
ImWIP
is an open-source, image warping tool for modeling deformation and motion in digital images, which contains differentiable image warping operators, together with their exact adjoints and derivatives.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,Image warping toolbox,,
61,"### See also
*[Anamorphosis]
*[Keystone effect], one of the defects often repaired by warping
*[Radar geo-warping]
*[Softwarp], is a software technique to warp an image so that it can be projected on a curved screen.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Image warping,See also,,
62,"## Full spectral imaging  
### Overview  
Full spectral imaging (FSI) is a form of imaging spectroscopy and is the successor to hyperspectral imaging.  Full spectral imaging was developed to improve the capabilities of remote sensing including Earth remote sensing.  
Full spectral imaging (FSI) is a form of [imaging spectroscopy] and is the successor to [hyperspectral imaging].  Full spectral imaging was developed to improve the capabilities of [remote sensing] including [Earth remote sensing].",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Full spectral imaging,Overview,,
63,### Data acquisition,Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Full spectral imaging,Data acquisition,,
64,"Whereas [hyperspectral imaging] acquires data as many contiguous spectral bands, full spectral imaging acquires data as spectral curves.  A significant advantage of FSI over hyperspectral imaging is a significant reduction in data rate and volume.  FSI extracts and saves only the information that is in the raw data.  The information is contained in the shape of the spectral curves.  The rate at which data is produced by an FSI system is proportional to the amount of information in the",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Full spectral imaging,Data acquisition,,
65,proportional to the amount of information in the scene/image.,Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Full spectral imaging,Data acquisition,,
66,"### Applications
Full spectral imaging, along with [empirical reflectance retrieval] and [autonomous remote sensing] are the components of the new systems for remote sensing and the successor to the [Landsat] series of satellites of the [Landsat program].",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Full spectral imaging,Applications,,
67,"## Digital image correlation and tracking  
### Overview",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Digital image correlation and tracking,Overview,,
68,"Digital image correlation and tracking is an optical method that employs tracking and image registration techniques for accurate 2D and 3D measurements of changes in 2D images or 3D volumes. This method is often used to measure full-field displacement and strains, and it is widely applied in many areas of science and engineering. Compared to strain gauges and extensometers, digital image correlation methods provide finer details about deformation, due to the ability to provide both local and",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Digital image correlation and tracking,Overview,,
69,due to the ability to provide both local and average data.,Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Digital image correlation and tracking,Overview,,
70,frame,Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Digital image correlation and tracking,Overview,,
71,"Digital image correlation and tracking is an optical method that employs tracking and [image registration] techniques for accurate 2D and 3D measurements of changes in 2D images or 3D volumes. This method is often used to measure full-field [displacement field (mechanics)|displacement] and [Strain (materials science)|strains], and it is widely applied in many areas of science and engineering. Compared to [strain gauge]s and [extensometer]s, digital image correlation methods provide finer",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Digital image correlation and tracking,Overview,,
72,"digital image correlation methods provide finer details about deformation, due to the ability to provide both local and average data.",Considers that confidence score as the weight  w_k^c  for the feature map  A_k .,C:\vibe coding\SARVQA-RAG-trae\agent\data\remote_sensing_imagery_corpus.md,Digital image correlation and tracking,Overview,,
